,,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years
weather_year,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
region,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,2022-07-01,98.40538978494624,105.83711021505376,109.12575268817204,99.78700268817204,114.27724462365592,111.06891129032259,102.30176075268817,110.67353494623656,100.944811827957,107.39987903225806,107.43103494623657,106.09526881720431,103.48709677419355,109.62037634408601,106.3394623655914,107.45900537634408,114.54754032258064,96.86110215053763,103.76084677419355,103.28537634408603,108.69860215053762,102.14587365591397,104.38825268817205,108.86944892473117,106.74565860215054,106.78408602150537,104.18255376344085,108.838561827957,113.18791666666667,111.14443548387098
France,2022-08-01,106.65712365591398,109.01067204301076,101.79975806451614,106.71033602150538,108.2029435483871,108.96569892473117,109.6110752688172,114.34380376344085,103.21772849462366,109.7205376344086,112.44709677419355,106.82857526881722,114.21327956989246,113.37842741935484,106.04493279569891,107.48912634408603,106.76447580645161,106.07612903225807,101.94856182795698,108.08903225806452,104.64948924731183,107.02486559139786,110.26451612903226,110.38529569892474,103.87014784946237,111.20357526881722,106.52165322580645,109.94293010752688,111.45538978494623,109.3156317204301
France,2022-09-01,103.96561111111112,107.65473611111112,104.46758333333334,109.45573611111112,105.38770833333332,105.18819444444445,108.45034722222222,109.21511111111111,105.71229166666667,106.82595833333333,108.72268055555556,105.3515,113.15088888888889,110.52720833333333,97.51188888888889,111.10893055555555,105.66687499999999,104.69065277777779,110.39701388888889,104.82863888888889,105.40748611111111,104.08644444444445,103.68720833333333,108.82131944444446,113.06969444444444,107.78686111111111,112.22652777777779,106.80358333333334,106.53291666666667,104.00375
France,2022-10-01,106.90538978494624,150.7891935483871,141.43622311827957,163.46860215053763,115.75736559139784,116.6190188172043,120.93861559139785,128.85622311827956,106.36755376344087,108.79896505376342,114.0591129032258,105.81817204301075,111.97529569892473,154.85295698924733,118.80944892473117,109.15094086021506,107.26576612903226,151.24395161290323,116.07306451612904,132.34016129032258,116.33565860215053,110.54522849462364,119.17774193548388,106.46041666666667,113.5058870967742,158.14201612903227,137.0175806451613,107.70819892473118,120.28962365591397,110.22529569892473
France,2022-11-01,173.91672222222223,147.204625,117.89654166666666,265.3293472222222,125.89956944444445,157.19079166666666,182.31618055555555,140.2009027777778,243.36447222222225,179.07438888888888,115.61908333333334,154.74444444444444,131.93536111111112,126.96202777777778,150.99884722222222,175.65970833333333,110.95441666666666,160.02655555555555,152.01184722222223,122.71591666666667,156.15080555555556,138.78215277777778,142.61155555555555,129.86554166666667,118.9727361111111,112.86836111111111,139.25205555555556,154.60575,145.1806388888889,153.60301388888888
France,2022-12-01,222.03123655913978,257.64288978494625,123.72126344086021,107.64428763440861,106.20331989247312,225.0254301075269,252.6257258064516,120.95470430107527,149.40345430107527,120.92302419354839,104.07985215053763,213.66512096774196,102.43700268817204,133.69432795698924,257.5619892473118,170.9729569892473,112.57456989247311,213.0992876344086,174.53138440860215,235.68459677419355,273.336061827957,101.30512096774193,168.64287634408603,108.16934139784946,131.3089247311828,106.87865591397849,163.9241935483871,132.90958333333333,134.63860215053762,69.45836021505376
Germany,2021-12-01,159.10177419354838,163.64510752688173,167.18611559139785,128.74975806451613,137.8697177419355,186.17888440860216,185.5284543010753,152.17270161290324,160.69431451612903,130.07247311827956,152.3836693548387,168.95557795698923,163.76198924731182,151.5148387096774,196.71586021505377,157.22165322580645,146.69989247311827,162.77653225806452,174.41395161290322,171.83594086021506,185.64418010752686,122.86310483870967,155.63401881720432,138.8776747311828,143.46908602150538,130.17120967741937,162.49297043010753,141.01424731182797,148.39192204301074,143.47163978494623
Germany,2022-01-01,182.83994623655914,303.9389650537634,295.1274596774193,150.958373655914,171.13896505376343,200.72938172043013,235.25842741935483,453.14645161290326,224.0915456989247,206.6274193548387,241.75470430107526,299.6203494623656,219.5347983870968,267.41310483870967,219.77961021505376,185.75942204301077,256.7883602150538,149.37083333333334,161.51833333333335,292.5147580645161,365.83650537634406,251.40869623655914,171.38947580645163,321.7825940860215,178.8742607526882,243.50818548387096,262.3471774193548,396.9248924731183,169.58635752688173,268.6036290322581
Germany,2022-02-01,135.5609375,291.2087202380952,211.25825892857142,245.58650297619047,216.80793154761903,148.85473214285716,239.37608630952383,166.12424107142857,191.30232142857145,211.62105654761905,168.4045238095238,198.62903273809522,136.37322916666668,258.5368452380952,193.08116071428572,223.29142857142855,313.02648809523805,186.1028273809524,185.06688988095237,214.48455357142856,281.92625,192.15776785714286,308.2339880952381,250.3355505952381,158.0977976190476,210.81473214285714,173.1066964285714,181.11688988095239,226.88321428571427,187.18224702380954
Germany,2022-03-01,131.23977792732165,167.56023553162854,150.81337146702558,162.96057200538357,131.00060565275908,134.90554508748318,174.7521265141319,161.23478465679676,150.66743606998654,170.4919650067295,148.549932705249,168.52950874831762,156.02475773889637,167.26578061911172,167.94404441453568,164.12397039030955,173.94604979811575,144.7049394347241,140.08374831763123,166.61910497981157,161.33098250336474,170.85986541049797,168.45667563930013,173.3423082099596,154.0435733512786,158.43400403768504,179.97146029609692,152.63821668909827,163.08475100942127,131.4799057873486
