,,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years
weather_year,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
region,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,2022-11-01,114.36213551394995,105.7618624364962,99.44563985691207,125.63221011542699,107.80103934885443,109.83085002883207,107.87580471798053,110.29172265498215,115.66851883437364,115.81543121411865,106.53983907228,112.08691584649424,116.9008533566572,110.71163219008386,114.02900459668786,120.95519776591989,99.83963113720687,107.1698340228093,115.79907640864536,106.44914020941822,106.15244613840358,109.09652909763686,111.23405918545768,112.21895591475769,111.95229338044498,99.3968379338617,113.381717210073,113.13596923268754,109.5798700128254,114.01175699636514
Czech Republic,2022-12-01,151.79163466245228,124.19304495109047,113.3391550109814,102.7131536476705,93.49064397637977,171.32533900893335,157.85748865689624,103.63124987559537,110.96042005069576,98.50442473112605,103.98827737532469,133.616744578822,112.33408756325717,110.2302286475318,119.7962182864335,128.80385725198542,99.17483543268939,156.07302625546353,139.91203421055997,160.63120469122913,129.93670676449244,97.53837208819714,117.3214673815028,98.99302238758101,99.12143771903771,99.30780518979083,119.77770757180159,100.16005705056702,109.6350472397184,104.23152831233025
Denmark (East),2021-12-01,133.60018648686278,125.29145064386277,148.2138824894787,132.83668823850556,121.62233961553972,161.36070925516347,151.63964820519226,137.90778272567243,132.40955843270163,123.84705474492742,158.05345871054362,136.1321882632879,155.36500149297615,135.42971924519705,144.8111052819612,143.48853722154684,137.52745045508306,129.80089322049403,155.01024429586076,150.15580051714394,147.64160218908347,120.30870396761154,121.95719755119799,122.63518146640246,125.34028014477515,119.0794017679384,126.54312070167065,124.89045420541395,133.08981303284418,140.8659084497407
Denmark (East),2022-01-01,164.66529369779,172.4770986934086,180.8529339664427,148.5770376971775,163.10696652308798,159.70169802982426,167.81962785875191,251.27337308177533,174.1977420356593,167.3198830722283,172.70862273977653,206.26386122848558,161.65351926794492,189.33715954559725,172.3803923590601,152.56232807209233,200.45620879008894,148.7299903567856,159.9779895932295,197.0139771339092,218.61270445781238,176.4055696175074,152.33327710941617,203.1299940288068,157.26893231222462,155.4807475105996,175.0768167947993,215.07668171425632,140.03995200328157,154.30624006950904
Denmark (East),2022-02-01,135.57306879936846,184.9786089904331,173.12109090262354,167.52881210729964,158.77449996415893,145.26224113387588,176.2269539573492,143.74589705625218,160.34270489492363,155.5127840080704,148.65050280033924,162.29658732124534,133.77079371551054,213.79496994486007,159.92968527527896,162.5570213594546,233.3791718564403,165.9430194813131,151.70227214499974,167.32198925751277,171.9414542867731,158.2729746035728,176.1504734242736,177.97376412862033,147.16180920841987,167.70498692269354,147.74242137232494,147.12673846242487,166.75317127713362,155.68051964122435
Denmark (East),2022-03-01,113.64621973380686,137.2222695406342,124.0307688938221,124.15517396243379,114.7658577300245,115.96005058384749,143.95487887688964,124.72524220137797,126.95236335354892,138.11990889511094,128.86983011715304,134.39861781231582,128.34958663847468,139.5876838199193,131.1479602839238,131.1566824173344,136.90226004417224,123.96461571073,117.0111583891652,139.23151006668434,132.18602123821893,135.90833721884434,130.90070580377804,139.373139654735,121.67732357170391,132.11357932619916,141.50284006882086,134.84005435710196,138.64059353087438,106.57146104008618
Denmark (East),2022-04-01,104.59138950912683,103.37632643264327,100.47785078717135,108.95672093542306,105.07869579788971,93.48734885974406,127.48823389541681,89.97281389052975,109.34341580717454,105.74873598032826,114.51706422682194,111.61549056436199,95.22085226685054,102.59291158518836,102.68325794565796,113.14948868187956,111.33886671277851,103.22033617596371,116.8216229383632,108.6616845901753,108.24232773351362,104.5973720499487,100.79080445407291,101.6729456943231,104.79007594818843,99.45229389974224,108.46043213553709,101.29081961746958,98.47113231138617,99.99439739338851
Denmark (East),2022-05-01,106.18133978514636,95.31730219332944,93.36790941368865,100.96881090669112,98.91092481827488,101.23143057217447,105.70654400250028,101.5767575970405,100.831730453587,101.88988654927957,88.88391098529132,95.43649468796198,100.21932526090494,89.67030027465292,99.35012214841835,102.82073543555141,85.28610583484131,88.7733607562576,93.43035529297508,93.30742778904722,107.58378895668018,90.04593815952488,100.03030407965544,101.05817726178772,99.75489157742815,97.01025528682756,98.78392191771745,107.45570523237708,95.38750076954567,102.9644304087421
Denmark (East),2022-06-01,108.40911038519772,95.41135673434768,102.82983912531292,99.64708542049873,89.85595352949316,102.81792435068947,100.25445988099496,98.87606757652497,102.66516145953761,104.44803457384712,101.43070059993185,99.17250183722415,97.44941411361549,94.39687177237653,90.04369972808713,99.36692294044592,105.79752725327852,103.55483790420939,96.35738032883671,90.96749947317286,96.69430413652857,103.63511471518987,91.98665010755725,95.32504167241287,97.63695183104753,96.48117309296303,104.75820002901558,89.18786270299586,98.29912009264046,98.7479131014738
Denmark (East),2022-07-01,86.49635896410564,93.0486939623546,98.48213967374532,87.43665910043843,112.0939391065222,101.74636603441303,86.82757953245535,104.64605085546187,86.6255748698534,101.13445076316982,100.09969372299365,99.80820582186514,90.7473911675854,103.56098960613649,101.08281519233911,92.49294007420454,108.0492088561424,84.56155847608028,100.77211589465989,86.3109644305274,98.22874506577382,87.84518489359797,91.57466836192724,97.99788939094856,103.27560607179336,83.73244227122903,93.40224290601428,94.91968628211745,106.37081327927653,95.8391956472009
