,,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years
weather_year,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
region,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark (East),2022-01-01,194.34012416107382,249.63227009574703,257.05754985422743,181.06489275596923,181.73098939436227,200.961249128515,214.73707102832046,404.5532557890223,236.9342854042322,217.20007650765078,229.14758491929655,265.9530236289382,219.36461978021978,269.1532836017956,223.30033181880765,201.4423900094054,236.66307027158692,193.81953033547467,193.3144364508393,229.737548778912,269.92135316946957,242.0280791708016,204.3359973753281,353.9419288755898,199.24166119962513,215.33775988497482,233.37070226672233,312.674970624235,190.50372998384017,229.14367639657777
Denmark (East),2022-02-01,159.82595430639597,204.57869314500454,188.24339149791757,196.66554538412788,185.08947814324364,171.97949092131807,204.49570372792675,161.4705857587406,182.0475267089726,208.8103033782559,183.9272901412134,194.29038097782527,174.1418832567072,202.83012164297,196.68870863001993,191.2086881339023,274.14630077301473,192.6714972014925,188.2294290022289,204.0798082401167,239.249951097013,172.22981415632339,210.10365001650348,203.78822372927797,170.6690606995286,198.95213776419658,188.32203139477846,188.32436445519932,198.00299964751497,177.03481548974943
Denmark (East),2022-03-01,126.90110883237627,158.24845489172603,143.33472048271364,143.5725092068378,126.87831905976675,116.14991457244754,148.13053395889187,145.04034350368676,140.4077780970042,151.30065731358795,145.05493347558678,153.93845404411763,146.31017186995504,149.8726989691197,150.33555305808588,148.31891073406504,164.1470324972346,123.72778460637987,125.85092160958716,146.29430395827762,151.55082924200696,144.07989931436592,141.77697796675687,154.89906342504975,140.9714054940329,142.4950968442144,156.85747181861728,149.54366209184138,142.13443628389433,130.32425055163628
Denmark (East),2022-04-01,103.01650788552884,102.06842848055975,98.90465661147653,102.81314800313234,105.02674901829232,96.42468123525187,110.14980851453193,92.99864597727621,107.2161042854466,107.80005135688296,111.04375321589191,110.44766404816782,94.92778899989023,87.24888971260107,100.55528908618449,105.3996335644652,106.65709373397164,93.3852799867462,114.24236089602766,98.87854067847492,100.97088837753218,92.46793970542582,101.13970899841782,106.38293403365084,101.14500630107689,93.976614720367,103.57334198485023,97.34933913010818,91.92757401390426,93.41140335805149
Denmark (East),2022-05-01,105.91491620661076,120.0594675018329,94.33930905509001,101.3195163790582,109.24895103356127,105.48862307355584,113.3247863565124,103.73406678127715,100.10159386250906,103.8852065750736,103.12442102851907,103.71050211589701,126.55274874682414,100.47287108185931,104.85462877887365,105.63556811469259,89.87030528510779,102.59967906588824,106.58403455816261,102.55790829108261,114.89095970973466,90.99483403064049,95.23701458850259,110.84136025435119,105.85762623003711,95.13859471949328,95.46696377043922,103.41684644320752,98.57193742648185,102.60363756018727
Denmark (East),2022-06-01,109.4254856128144,104.42806003203292,106.95249699365557,104.8100878125,98.11640468651045,103.88130698691381,103.63078666645532,102.7597839416505,105.23792129053214,109.00637479372936,103.63624393356731,104.48672642332934,98.91424910231319,102.10967431322572,102.57372712176455,104.81063560988656,107.34428543761639,104.77229014582869,102.22329344712776,105.99312985520571,105.14102768443445,106.45519531608755,102.30565834865598,102.42511712081938,108.47407757834362,102.86336936642716,105.42690546368402,94.02253283016313,104.43409753292472,102.6874733388023
Denmark (East),2022-07-01,90.35220472689406,98.48069804271285,103.47551452538364,96.60518282329714,109.37870761987428,104.61470548120366,95.1969489739683,109.3008111661931,95.07627360349709,104.12997768975096,106.21302855417836,104.26922787026322,100.83241008284503,103.97566188323798,99.08413722540926,102.60436557349759,108.02736857574179,90.92568145771754,100.76224372223932,96.24847088607595,103.67039259303793,103.64781968447757,97.92542414199674,104.95008724036475,104.94628507328305,92.58407055263577,102.64609994357454,102.88717285802522,107.3217576230414,101.49066778554491
Denmark (East),2022-08-01,104.61726497060508,105.85684739140852,93.40034378443353,100.34849050155795,102.06866208707224,106.17610694450681,104.64717366590311,112.49582004502022,101.7060053128333,109.89180136246883,107.84037119524871,101.81734235656224,111.85866461046379,106.10725365267864,103.70101421981097,105.85270354419524,105.9246409286711,102.98478759192616,98.85562317289084,101.01630783775106,103.48929047042544,104.1594029541117,106.27960252183051,106.9797191961444,100.07194143556589,106.28275268187072,101.9839796570552,104.43702322125209,108.59110167934442,107.58876207565297
Denmark (East),2022-09-01,112.19718811082498,111.29359161884426,109.98268177898238,113.99245404830624,111.55708319299428,111.54074204946997,108.78874458068464,110.07684456011957,109.27344194140966,111.10284611216473,109.98556559561369,113.70178840700008,111.76329208031986,110.30596350742063,106.38546742076117,111.45509771751193,108.14232176615023,109.13196325600107,112.9427399849807,109.62612631846487,111.24875553097345,110.33975767025184,108.31099653406129,113.37512788224758,110.35241090612728,110.50733897742363,111.21327342775211,109.46045616149443,107.33963885628934,106.15848247387936
Denmark (East),2022-10-01,100.10139519609683,109.30207460271357,115.551065830721,114.37421226698739,104.25695827445766,107.21852889902105,113.11810875958155,105.39071425447229,98.29668915542229,101.83916641074013,107.83895777742896,102.44297585103288,108.11356649860492,111.75121246988601,103.05775139413565,107.97837270797814,106.1156312092323,120.42175609971711,102.58987784009886,106.94969076269686,99.95743709576466,100.72729131517634,105.63193607218277,98.41656014586633,106.96340750966317,111.66955151455741,108.38237128795001,95.83167154919867,100.89851404114732,106.73790149268245
